ID,SMILE
ID0000046,O=C(O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(CO)=CC[C@H]12>>CC(=O)OCC1=C[C@@H]2OC(=O)C3=CO[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]1[C@@H]32
ID0000047,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O>>C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
ID0000048,O=C(C(O)CO)C(O)COP(=O)(O)O>>O=C(C(O)C(O)CO)C(O)C(O)C(O)COP(=O)(O)O
ID0000049,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1>>Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1
ID0000050,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CCC(=O)c2cccc(C(=O)O)c2)[C@@H](O)[C@H]1O>>O=C(O)c1cccc(C(=O)CC[C@H]2OC(O)[C@H](O)[C@@H]2O)c1
ID0000051,O=C(O)C1=NC(C(=O)O)CCC1>>O=C(O)C1=NC(C(=O)O)C[C@@H](O)C1
ID0000052,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43CO)[C@@H]1CC[C@@H]2O>>C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C=O)[C@@H]1CC[C@@H]2O
ID0000053,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
ID0000054,O=C(O)c1cc(O)c2ccccc2c1O>>CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)c1cc(O)c2ccccc2c1O
ID0000055,*NC(=O)C(CCCN=C(N)N)NC(*)=O>>*NC(=O)C(CCCN=C(N)N[C@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O)NC(*)=O
